metric,mean,std
Grackle avg PAR-2,9.535326874001942,2.7245171724758386
Grackle solved%,86.82218123449825,4.234792043054507
CSBS avg PAR-2,12.37126808018448,2.483259696515963
CSBS solved%,81.22371198908448,3.981618380523839
ΔPAR-2 vs CSBS (total),5074.428599999976,2735.6465568684152
VBS disagreement%,84.03493234020877,4.764036819232198
GRACKLE QF_BV avg_par2,15.664138335172598,11.370049881318764
GRACKLE QF_BV solved_pct,77.46828049478219,16.4859391536531
CSBS QF_BV avg_par2,18.738258042253037,14.636006464174281
CSBS QF_BV solved_pct,71.18824696939396,22.86844490720048
VBS QF_BV avg_par2,14.949217224745105,10.89796639140319
VBS QF_BV solved_pct,77.94113050263154,16.195929533238825
GRACKLE QF_LIA avg_par2,6.329704335421876,7.459430119297604
GRACKLE QF_LIA solved_pct,91.6965865407603,10.962060070948631
CSBS QF_LIA avg_par2,6.837510472789679,7.918815178233845
CSBS QF_LIA solved_pct,90.64662157175984,12.010497022494627
VBS QF_LIA avg_par2,5.483062794774563,6.563248191683123
VBS QF_LIA solved_pct,92.40102484504595,9.80200826332437
GRACKLE QF_NRA avg_par2,17.396781722745665,18.48534618336029
GRACKLE QF_NRA solved_pct,73.82689211033986,30.900927604043403
CSBS QF_NRA avg_par2,23.920921314275255,20.01701739693464
CSBS QF_NRA solved_pct,61.477543668944826,33.261999991051205
VBS QF_NRA avg_par2,16.274441754122243,18.570712248244707
VBS QF_NRA solved_pct,74.33569837257079,30.929735905505922
