metric,mean,std
Grackle avg PAR-2,9.371682191593665,2.712110212842963
Grackle solved%,87.0633244947763,4.052239653386223
CSBS avg PAR-2,12.209273524444423,2.7374190395407587
CSBS solved%,81.39956707318052,4.478970239582242
ΔPAR-2 vs CSBS (total),5078.596400000004,2812.67080803587
VBS disagreement%,76.3604103386536,10.393567312301522
GRACKLE QF_BV avg_par2,15.526048306871424,11.140896198194985
GRACKLE QF_BV solved_pct,78.02543863411128,15.741035051574636
CSBS QF_BV avg_par2,17.943091883873194,13.412782877444814
CSBS QF_BV solved_pct,72.97998576699541,20.320576761877735
VBS QF_BV avg_par2,14.776998603093453,10.65460658358835
VBS QF_BV solved_pct,78.26687849363718,15.697093752424085
GRACKLE QF_LIA avg_par2,6.063253635718867,6.835722028306453
GRACKLE QF_LIA solved_pct,92.10710714464277,10.027786714097939
CSBS QF_LIA avg_par2,6.578456478606199,7.312233415774771
CSBS QF_LIA solved_pct,90.95314055257936,11.208783167852944
VBS QF_LIA avg_par2,5.248149602750758,6.137261944379109
VBS QF_LIA solved_pct,92.75696029609,8.96465447488291
GRACKLE QF_NRA avg_par2,17.350883115111877,18.310654861148247
GRACKLE QF_NRA solved_pct,73.93551028330965,30.411064090375483
CSBS QF_NRA avg_par2,24.170557969015228,20.079009810608877
CSBS QF_NRA solved_pct,60.90362519237241,33.31087209376538
VBS QF_NRA avg_par2,16.060754210041218,18.11605825997601
VBS QF_NRA solved_pct,74.73417161800435,29.858520204161387
