logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37204.773999999954,12.401591333333334,2454,81.8,3000
QF_BV,GRACKLE,39069.33500000003,13.023111666666667,2442,81.39999999999999,3000
QF_BV,CSBS,45602.630000000194,15.200876666666668,2303,76.76666666666667,3000
QF_BV,SBS,135851.5299999995,45.28384333333333,763,25.433333333333337,3000
QF_LIA,VBS,22174.116000000206,7.3913720000000005,2696,89.86666666666666,3000
QF_LIA,GRACKLE,26158.69900000008,8.719566333333333,2669,88.96666666666667,3000
QF_LIA,CSBS,28983.320000000076,9.661106666666667,2611,87.03333333333333,3000
QF_LIA,SBS,62655.25999999899,20.885086666666666,2032,67.73333333333333,3000
QF_NRA,VBS,21040.553000000018,7.013517666666668,2689,89.63333333333333,3000
QF_NRA,GRACKLE,23649.441999999817,7.883147333333333,2679,89.3,3000
QF_NRA,CSBS,40283.17899999985,13.427726333333332,2363,78.76666666666667,3000
QF_NRA,SBS,162814.18699999986,54.27139566666667,311,10.366666666666667,3000
