metric,mean,std
Grackle avg PAR-2,9.221458869148192,2.6766043214251107
Grackle solved%,87.25374443589422,4.018677777642661
CSBS avg PAR-2,12.151157979339988,2.51761915906026
CSBS solved%,81.4303124192171,4.053890124001041
ΔPAR-2 vs CSBS (total),5241.153000000011,2779.930029236804
VBS disagreement%,69.28134389458675,6.394918033261253
GRACKLE QF_BV avg_par2,15.243547446828982,10.922336088567974
GRACKLE QF_BV solved_pct,78.51231508064213,15.388452756558587
CSBS QF_BV avg_par2,18.568557717960992,14.45743167840174
CSBS QF_BV solved_pct,71.44776547608997,22.71039198296507
VBS QF_BV avg_par2,14.472226693873539,10.396669733129652
VBS QF_BV solved_pct,78.81458731898296,15.2304496322451
GRACKLE QF_LIA avg_par2,6.131325764508717,6.947872040557634
GRACKLE QF_LIA solved_pct,91.68155871682399,10.072637880068083
CSBS QF_LIA avg_par2,6.530206640391234,7.265777873989324
CSBS QF_LIA solved_pct,90.84734679750729,10.77873165880814
VBS QF_LIA avg_par2,5.247413603918603,5.803381601248124
VBS QF_LIA solved_pct,92.68621536172101,8.403319144079035
GRACKLE QF_NRA avg_par2,17.04228637479325,18.3090549122905
GRACKLE QF_NRA solved_pct,74.56173337528617,30.4214974722778
CSBS QF_NRA avg_par2,23.88025713959245,20.045705485110393
CSBS QF_NRA solved_pct,61.50845557002674,33.28793691147916
VBS QF_NRA avg_par2,16.100998956548153,18.41568379238104
VBS QF_NRA solved_pct,74.64001126178323,30.426426540339634
