metric,mean,std
Grackle avg PAR-2,9.827031447017067,2.6176117118324074
Grackle solved%,86.76874729954373,4.042238944821875
CSBS avg PAR-2,12.577333709196912,2.777167242374078
CSBS solved%,80.925890173664,4.543966009660796
ΔPAR-2 vs CSBS (total),4921.268399999988,2834.0885369968605
VBS disagreement%,87.34647282113056,6.163026245624072
GRACKLE QF_BV avg_par2,15.671461326313208,11.432080606476003
GRACKLE QF_BV solved_pct,77.64351013868425,16.535792210398895
CSBS QF_BV avg_par2,18.027732637320906,13.496615621823164
CSBS QF_BV solved_pct,72.8313570756256,20.457771074425658
VBS QF_BV avg_par2,14.89115950696396,10.950153539543757
VBS QF_BV solved_pct,78.1552434472098,16.14599943439035
GRACKLE QF_LIA avg_par2,7.279932594257295,7.130735563561303
GRACKLE QF_LIA solved_pct,91.06642429887239,10.611485410539983
CSBS QF_LIA avg_par2,7.555470310935872,7.66485298485565
CSBS QF_LIA solved_pct,89.47771675280866,11.635321328177554
VBS QF_LIA avg_par2,5.910971433186528,6.367273763110913
VBS QF_LIA solved_pct,91.77086260315805,9.454543115446091
GRACKLE QF_NRA avg_par2,17.329895354465116,18.318801230274854
GRACKLE QF_NRA solved_pct,74.05292711305525,30.409091628794204
CSBS QF_NRA avg_par2,24.044853808223195,20.066180240773903
CSBS QF_NRA solved_pct,61.19534402403848,33.30543440527849
VBS QF_NRA avg_par2,16.076957850520397,18.13186891287428
VBS QF_NRA solved_pct,74.73417161800435,29.858520204161387
