metric,mean,std
Grackle avg PAR-2,11.17387866823611,2.607940284722583
Grackle solved%,89.18579901496202,2.8516658840097113
CSBS avg PAR-2,12.392658963275398,2.525900232571652
CSBS solved%,83.31862778905148,3.982921063113126
ΔPAR-2 vs CSBS (total),2184.219599999946,2244.2214124052293
VBS disagreement%,90.67512500785756,4.24477768447685
GRACKLE QF_BV avg_par2,15.855478364546638,11.753755526880582
GRACKLE QF_BV solved_pct,80.07716640892309,14.95870276522234
CSBS QF_BV avg_par2,18.571108933111127,14.433476564972631
CSBS QF_BV solved_pct,73.36162313202996,20.76557541744235
VBS QF_BV avg_par2,14.643599429233843,10.659113771635015
VBS QF_BV solved_pct,80.07716640892309,14.95870276522234
GRACKLE QF_LIA avg_par2,7.219391012477215,7.026298153716142
GRACKLE QF_LIA solved_pct,93.54784332289935,8.154196349296727
CSBS QF_LIA avg_par2,7.424553479157374,7.514368896891923
CSBS QF_LIA solved_pct,91.48131171498194,10.238931665996299
VBS QF_LIA avg_par2,5.2171003657167025,6.171759710833865
VBS QF_LIA solved_pct,94.14828000412206,7.136957851111549
GRACKLE QF_NRA avg_par2,20.65564840138914,17.059887642074408
GRACKLE QF_NRA solved_pct,79.80977724763486,23.426352881598916
CSBS QF_NRA avg_par2,23.602578149627096,20.006199818718148
CSBS QF_NRA solved_pct,64.95553014607201,33.29430412863869
VBS QF_NRA avg_par2,15.025419364256758,16.69661599334806
VBS QF_NRA solved_pct,79.98906573078435,23.468281480511976
