logic,strategy,total_par2,avg_par2,solved,solved_pct,total
QF_BV,VBS,37406.75000000007,12.468916666666669,2452,81.73333333333333,3000
QF_BV,GRACKLE,39272.03300000008,13.090677666666664,2439,81.3,3000
QF_BV,CSBS,45723.3700000002,15.241123333333332,2301,76.7,3000
QF_BV,SBS,135906.10999999943,45.30203666666667,762,25.4,3000
QF_LIA,VBS,19164.3330000001,6.388110999999999,2740,91.33333333333333,3000
QF_LIA,GRACKLE,22506.10199999994,7.502034,2716,90.53333333333333,3000
QF_LIA,CSBS,24035.249999999927,8.01175,2683,89.43333333333334,3000
QF_LIA,SBS,58619.369999999166,19.53979,2090,69.66666666666667,3000
QF_NRA,VBS,20519.37300000015,6.839791,2693,89.76666666666667,3000
QF_NRA,GRACKLE,23583.29400000013,7.861098,2684,89.46666666666667,3000
QF_NRA,CSBS,40743.03999999968,13.581013333333333,2355,78.5,3000
QF_NRA,SBS,163192.31300000014,54.39743766666666,304,10.133333333333333,3000
