metric,mean,std
Grackle avg PAR-2,9.154731650430776,2.640256689392094
Grackle solved%,87.38223630172584,3.940004210548135
CSBS avg PAR-2,12.121964759348318,2.761536733746547
CSBS solved%,81.49873602335872,4.5940476661284935
ΔPAR-2 vs CSBS (total),5314.376999999986,2763.9230052867983
VBS disagreement%,72.34259640377545,8.117048386692984
GRACKLE QF_BV avg_par2,15.385368626291765,11.00093577639158
GRACKLE QF_BV solved_pct,78.09128586852744,15.727960560293777
CSBS QF_BV avg_par2,17.80065074488581,13.246943451817485
CSBS QF_BV solved_pct,73.22833013785632,19.97250696573956
VBS QF_BV avg_par2,14.688281062234655,10.629576903249475
VBS QF_BV solved_pct,78.45940534128441,15.56263769477007
GRACKLE QF_LIA avg_par2,5.694792793220601,6.453579335755256
GRACKLE QF_LIA solved_pct,92.6339461684121,9.38343148694466
CSBS QF_LIA avg_par2,6.4574160459062195,7.14172436029852
CSBS QF_LIA solved_pct,91.0625174800212,10.898742523817141
VBS QF_LIA avg_par2,4.947373854455203,5.7163529738333665
VBS QF_LIA solved_pct,93.28896800247324,8.269218570882117
GRACKLE QF_NRA avg_par2,17.22144859455283,18.33856374666285
GRACKLE QF_NRA solved_pct,74.20948288604937,30.40928259207663
CSBS QF_NRA avg_par2,24.128467081470184,20.087908557698533
CSBS QF_NRA solved_pct,60.96051036454729,33.326274584204434
VBS QF_NRA avg_par2,16.07394142917679,18.145015814419402
VBS QF_NRA solved_pct,74.73417161800435,29.858520204161387
