metric,mean,std
Grackle avg PAR-2,9.607557846980988,2.689069929876659
Grackle solved%,86.47967014343138,4.152392303972295
CSBS avg PAR-2,12.37032422675052,2.4546078900549695
CSBS solved%,81.05518423034641,3.931012010331458
ΔPAR-2 vs CSBS (total),4940.076400000008,2838.0145979933222
VBS disagreement%,83.13740340301085,5.312802876686495
GRACKLE QF_BV avg_par2,15.913366049762447,11.605372367478068
GRACKLE QF_BV solved_pct,77.10481289641875,16.831122792915544
CSBS QF_BV avg_par2,18.9467335392485,14.955909551527233
CSBS QF_BV solved_pct,70.87156604247815,23.44382668831943
VBS QF_BV avg_par2,15.18295739984821,11.137806717911348
VBS QF_BV solved_pct,77.5776629042681,16.544350147855667
GRACKLE QF_LIA avg_par2,6.715326735726531,7.128330206010625
GRACKLE QF_LIA solved_pct,90.64709335493924,10.980343047910916
CSBS QF_LIA avg_par2,6.9860723545563985,7.338679899841824
CSBS QF_LIA solved_pct,90.0745509394836,11.41529012742807
VBS QF_LIA avg_par2,5.821334918922722,6.2599044363499985
VBS QF_LIA solved_pct,91.80052967875623,9.503103093767193
GRACKLE QF_NRA avg_par2,17.066389972441502,18.296872812706802
GRACKLE QF_NRA solved_pct,74.30221858929512,30.47475916547783
CSBS QF_NRA avg_par2,23.835456367021017,20.03452762517895
CSBS QF_NRA solved_pct,61.578554265597255,33.28266138952087
VBS QF_NRA avg_par2,15.9895273605425,18.385491965913616
VBS QF_NRA solved_pct,74.77188590827751,30.49319833417828
