metric,mean,std
Grackle avg PAR-2,9.405954840413417,2.480978313831066
Grackle solved%,87.16882991100779,3.7253148625661265
CSBS avg PAR-2,12.471374047231178,2.7055183481695915
CSBS solved%,81.11856436225861,4.454279482866994
ΔPAR-2 vs CSBS (total),5490.517599999975,2930.7215633635233
VBS disagreement%,81.9099925166618,6.59783749223117
GRACKLE QF_BV avg_par2,15.665895347326973,11.392494379617053
GRACKLE QF_BV solved_pct,77.3512676115459,16.90273869707475
CSBS QF_BV avg_par2,17.94263848000827,13.38239686091242
CSBS QF_BV solved_pct,72.81442285308813,20.554349741998482
VBS QF_BV avg_par2,14.756954175669414,10.640791720877393
VBS QF_BV solved_pct,78.31077664991462,15.690288723150326
GRACKLE QF_LIA avg_par2,6.141030989927032,6.271895000999776
GRACKLE QF_LIA solved_pct,92.54821371922671,9.072536461889284
CSBS QF_LIA avg_par2,7.179342937703005,6.8164503318464345
CSBS QF_LIA solved_pct,90.37938951851534,10.379278410479968
VBS QF_LIA avg_par2,5.161928195256994,5.726615915211476
VBS QF_LIA solved_pct,93.00093125802223,8.474528091141849
GRACKLE QF_NRA avg_par2,17.499659240662194,18.487930874848157
GRACKLE QF_NRA solved_pct,73.50426137759186,30.862785285995813
CSBS QF_NRA avg_par2,24.406356859864303,20.142955705297354
CSBS QF_NRA solved_pct,60.45170410231638,33.39405219280428
VBS QF_NRA avg_par2,16.376751956033765,18.57634986628379
VBS QF_NRA solved_pct,74.13177661416151,30.9332884239842
