metric,mean,std
Grackle avg PAR-2,9.547999580630057,2.694095072502142
Grackle solved%,86.81067781412385,4.122459484331683
CSBS avg PAR-2,11.594102981962093,2.8899500913273655
CSBS solved%,82.79564246707392,4.776197707649444
ΔPAR-2 vs CSBS (total),3668.542,1513.197964628961
VBS disagreement%,64.33677586671662,3.898274737138301
GRACKLE QF_BV avg_par2,15.395133829445381,11.159132588178455
GRACKLE QF_BV solved_pct,77.9361156470303,16.091477370657266
CSBS QF_BV avg_par2,18.433045615012848,14.34316657162296
CSBS QF_BV solved_pct,71.73172238256342,22.35797701535435
VBS QF_BV avg_par2,14.985701219298656,10.841202478655372
VBS QF_BV solved_pct,77.9361156470303,16.091477370657266
GRACKLE QF_LIA avg_par2,7.165465278717506,6.913960524953577
GRACKLE QF_LIA solved_pct,91.05555666539817,10.406132623864355
CSBS QF_LIA avg_par2,7.9194660735522175,7.155075445961364
CSBS QF_LIA solved_pct,89.52091688537844,10.974016208589408
VBS QF_LIA avg_par2,6.033363578440074,6.182845187248118
VBS QF_LIA solved_pct,91.75999496968383,9.248280129132922
GRACKLE QF_NRA avg_par2,16.76696715484659,18.256805665427986
GRACKLE QF_NRA solved_pct,74.18879429471863,30.266568677553916
CSBS QF_NRA avg_par2,20.818041795409805,20.40745731474469
CSBS QF_NRA solved_pct,66.775496651843,33.93082531975899
VBS QF_NRA avg_par2,16.149450440242994,18.261958933846046
VBS QF_NRA solved_pct,74.59464154395263,30.348540605484178
