metric,mean,std
Grackle avg PAR-2,9.394462924876418,2.6315037280318667
Grackle solved%,87.1502802641064,3.941709328794899
CSBS avg PAR-2,11.406390913879346,2.869089360719321
CSBS solved%,83.1480589744983,4.749079645893613
ΔPAR-2 vs CSBS (total),3608.3903999999943,1387.2871482748808
VBS disagreement%,76.011576442384,11.062280414953426
GRACKLE QF_BV avg_par2,15.224337732533389,11.001967298934535
GRACKLE QF_BV solved_pct,78.23875086657881,15.860155254550254
CSBS QF_BV avg_par2,18.12899571303698,14.010362864921536
CSBS QF_BV solved_pct,72.25537505802522,21.72527789390324
VBS QF_BV avg_par2,14.699188723294007,10.651335657344493
VBS QF_BV solved_pct,78.37044533541112,15.838350469376296
GRACKLE QF_LIA avg_par2,6.891377200141085,6.484698495105043
GRACKLE QF_LIA solved_pct,91.62353208758776,9.481172271112188
CSBS QF_LIA avg_par2,7.6644080297568085,6.787979130862389
CSBS QF_LIA solved_pct,90.0359693805703,10.229420911613394
VBS QF_LIA avg_par2,5.7739673267240015,5.767001044684414
VBS QF_LIA solved_pct,92.30067781545421,8.372230017313942
GRACKLE QF_NRA avg_par2,16.725583032626467,18.25506689077112
GRACKLE QF_NRA solved_pct,74.30621112446423,30.27271383535963
CSBS QF_NRA avg_par2,20.750772525905795,20.4040815957626
CSBS QF_NRA solved_pct,66.91065971051496,33.934654683669
VBS QF_NRA avg_par2,16.11015608857577,18.262601063950157
VBS QF_NRA solved_pct,74.71205837369823,30.359154787038182
