metric,mean,std
Grackle avg PAR-2,8.82863611508809,2.6832043765408433
Grackle solved%,87.87648662379513,4.132154368312857
CSBS avg PAR-2,12.108535514588567,2.4350849422259087
CSBS solved%,81.50328113087906,4.019093117171213
ΔPAR-2 vs CSBS (total),5866.428799999989,3528.6604620393127
VBS disagreement%,76.308615110889,7.15840312584295
GRACKLE QF_BV avg_par2,15.232535666780805,10.989498721553558
GRACKLE QF_BV solved_pct,78.4039507992784,15.70115179662491
CSBS QF_BV avg_par2,18.331357379619675,14.171954823184514
CSBS QF_BV solved_pct,72.00201583156307,21.987740394408682
VBS QF_BV avg_par2,14.431528391694261,10.51119461187827
VBS QF_BV solved_pct,78.68928881508175,15.665777387623677
GRACKLE QF_LIA avg_par2,5.1748822746728385,6.634208207513593
GRACKLE QF_LIA solved_pct,93.32433569369567,9.973180302455654
CSBS QF_LIA avg_par2,6.650200209784818,6.672814871239635
CSBS QF_LIA solved_pct,90.63069059974949,10.133533021886732
VBS QF_LIA avg_par2,4.142610311758702,6.024882886412315
VBS QF_LIA solved_pct,94.1761045135516,8.762585731909143
GRACKLE QF_NRA avg_par2,17.046034237655487,18.03277011019222
GRACKLE QF_NRA solved_pct,74.46019901526462,29.85437490406542
CSBS QF_NRA avg_par2,23.873725599054787,20.041230175330313
CSBS QF_NRA solved_pct,61.50027637910019,33.285637466220344
VBS QF_NRA avg_par2,15.946102030464099,18.13213863757205
VBS QF_NRA solved_pct,74.85158844774995,29.86337447410336
