variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,2,0,QF_BV,1546,26751.0,17.3034,1347,0.8713
0,2,0,QF_LIA,1516,98100.33,64.71,726,0.4789
0,2,0,QF_NRA,1533,11070.49,7.2215,1445,0.9426
0,2,1,QF_BV,1454,68840.94,47.3459,912,0.6272
0,2,1,QF_LIA,1484,15093.82,10.171,1387,0.9346
0,2,1,QF_NRA,1467,56527.9,38.533,1100,0.7498
1,5,0,QF_BV,702,19207.09,27.3605,551,0.7849
1,5,0,QF_LIA,575,15929.14,27.7029,476,0.8278
1,5,0,QF_NRA,882,577.44,0.6547,879,0.9966
1,5,1,QF_BV,550,38615.89,70.2107,247,0.4491
1,5,1,QF_LIA,541,6535.75,12.0809,496,0.9168
1,5,1,QF_NRA,512,6852.15,13.3831,456,0.8906
1,5,2,QF_BV,556,1121.88,2.0178,552,0.9928
1,5,2,QF_LIA,649,2223.14,3.4255,639,0.9846
1,5,2,QF_NRA,480,13833.26,28.8193,404,0.8417
1,5,3,QF_BV,589,6733.86,11.4327,546,0.927
1,5,3,QF_LIA,647,15665.94,24.2132,525,0.8114
1,5,3,QF_NRA,544,42984.42,79.0155,230,0.4228
1,5,4,QF_BV,603,32671.66,54.1819,337,0.5589
1,5,4,QF_LIA,588,34838.48,59.2491,300,0.5102
1,5,4,QF_NRA,582,2385.51,4.0988,564,0.9691
2,10,0,QF_BV,502,74.35,0.1481,502,1.0
2,10,0,QF_LIA,575,16551.37,28.785,476,0.8278
2,10,0,QF_NRA,882,1177.57,1.3351,874,0.9909
2,10,1,QF_BV,342,17318.05,50.6376,213,0.6228
2,10,1,QF_LIA,420,3026.85,7.2068,405,0.9643
2,10,1,QF_NRA,512,7445.54,14.5421,452,0.8828
2,10,2,QF_BV,317,41.13,0.1297,317,1.0
2,10,2,QF_LIA,416,3162.92,7.6032,405,0.9736
2,10,2,QF_NRA,345,16530.51,47.9145,252,0.7304
2,10,3,QF_BV,304,19291.62,63.4593,150,0.4934
2,10,3,QF_LIA,306,637.33,2.0828,305,0.9967
2,10,3,QF_NRA,309,15971.04,51.6862,220,0.712
2,10,4,QF_BV,302,32257.55,106.8131,40,0.1325
2,10,4,QF_LIA,294,21124.04,71.8505,118,0.4014
2,10,4,QF_NRA,245,385.86,1.5749,242,0.9878
2,10,5,QF_BV,301,3.29,0.0109,301,1.0
2,10,5,QF_LIA,294,1697.02,5.7722,287,0.9762
2,10,5,QF_NRA,225,742.4,3.2996,220,0.9778
2,10,6,QF_BV,285,1.35,0.0047,285,1.0
2,10,6,QF_LIA,233,238.03,1.0216,232,0.9957
2,10,6,QF_NRA,166,8933.24,53.8147,93,0.5602
2,10,7,QF_BV,239,600.41,2.5122,238,0.9958
2,10,7,QF_LIA,233,5033.76,21.6041,196,0.8412
2,10,7,QF_NRA,135,379.81,2.8134,132,0.9778
2,10,8,QF_BV,208,21981.49,105.6802,34,0.1635
2,10,8,QF_LIA,121,261.21,2.1587,121,1.0
2,10,8,QF_NRA,112,1017.4,9.0839,104,0.9286
2,10,9,QF_BV,200,15342.81,76.714,78,0.39
2,10,9,QF_LIA,108,6817.4,63.1241,56,0.5185
2,10,9,QF_NRA,69,7810.66,113.1979,4,0.058
