variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,60,0,QF_BV,702,22266.7,31.7189,525,0.7479
0,60,0,QF_LIA,575,16060.78,27.9318,476,0.8278
0,60,0,QF_NRA,882,1081.9,1.2266,875,0.9921
0,60,1,QF_BV,550,35382.8,64.3324,274,0.4982
0,60,1,QF_LIA,541,4099.17,7.577,518,0.9575
0,60,1,QF_NRA,512,5798.46,11.3251,476,0.9297
0,60,2,QF_BV,556,1274.27,2.2918,554,0.9964
0,60,2,QF_LIA,649,6340.92,9.7703,613,0.9445
0,60,2,QF_NRA,480,14250.23,29.688,391,0.8146
0,60,3,QF_BV,589,11762.02,19.9695,503,0.854
0,60,3,QF_LIA,647,18026.0,27.8609,504,0.779
0,60,3,QF_NRA,544,42898.64,78.8578,231,0.4246
0,60,4,QF_BV,603,32671.9,54.1822,337,0.5589
0,60,4,QF_LIA,588,16681.58,28.37,452,0.7687
0,60,4,QF_NRA,582,2290.85,3.9362,565,0.9708
1,120,0,QF_BV,702,19207.09,27.3605,551,0.7849
1,120,0,QF_LIA,575,15929.14,27.7029,476,0.8278
1,120,0,QF_NRA,882,577.44,0.6547,879,0.9966
1,120,1,QF_BV,550,38615.89,70.2107,247,0.4491
1,120,1,QF_LIA,541,6535.75,12.0809,496,0.9168
1,120,1,QF_NRA,512,6852.15,13.3831,456,0.8906
1,120,2,QF_BV,556,1121.88,2.0178,552,0.9928
1,120,2,QF_LIA,649,2223.14,3.4255,639,0.9846
1,120,2,QF_NRA,480,13833.26,28.8193,404,0.8417
1,120,3,QF_BV,589,6733.86,11.4327,546,0.927
1,120,3,QF_LIA,647,15665.94,24.2132,525,0.8114
1,120,3,QF_NRA,544,42984.42,79.0155,230,0.4228
1,120,4,QF_BV,603,32671.66,54.1819,337,0.5589
1,120,4,QF_LIA,588,34838.48,59.2491,300,0.5102
1,120,4,QF_NRA,582,2385.51,4.0988,564,0.9691
2,240,0,QF_BV,702,15539.23,22.1357,579,0.8248
2,240,0,QF_LIA,575,15929.5,27.7035,476,0.8278
2,240,0,QF_NRA,882,1176.14,1.3335,874,0.9909
2,240,1,QF_BV,550,39448.41,71.7244,245,0.4455
2,240,1,QF_LIA,541,4832.68,8.9329,508,0.939
2,240,1,QF_NRA,512,7132.46,13.9306,454,0.8867
2,240,2,QF_BV,556,1296.4,2.3317,553,0.9946
2,240,2,QF_LIA,649,6453.11,9.9432,612,0.943
2,240,2,QF_NRA,480,18156.46,37.8259,372,0.775
2,240,3,QF_BV,589,8485.83,14.4072,531,0.9015
2,240,3,QF_LIA,647,19064.98,29.4667,496,0.7666
2,240,3,QF_NRA,544,42832.63,78.7365,232,0.4265
2,240,4,QF_BV,603,19385.69,32.1487,453,0.7512
2,240,4,QF_LIA,588,30925.01,52.5936,333,0.5663
2,240,4,QF_NRA,582,2015.14,3.4624,567,0.9742
