variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,42,0,QF_BV,702,19207.09,27.3605,551,0.7849
0,42,0,QF_LIA,575,15929.14,27.7029,476,0.8278
0,42,0,QF_NRA,882,577.44,0.6547,879,0.9966
0,42,1,QF_BV,550,38615.89,70.2107,247,0.4491
0,42,1,QF_LIA,541,6535.75,12.0809,496,0.9168
0,42,1,QF_NRA,512,6852.15,13.3831,456,0.8906
0,42,2,QF_BV,556,1121.88,2.0178,552,0.9928
0,42,2,QF_LIA,649,2223.14,3.4255,639,0.9846
0,42,2,QF_NRA,480,13833.26,28.8193,404,0.8417
0,42,3,QF_BV,589,6733.86,11.4327,546,0.927
0,42,3,QF_LIA,647,15665.94,24.2132,525,0.8114
0,42,3,QF_NRA,544,42984.42,79.0155,230,0.4228
0,42,4,QF_BV,603,32671.66,54.1819,337,0.5589
0,42,4,QF_LIA,588,34838.48,59.2491,300,0.5102
0,42,4,QF_NRA,582,2385.51,4.0988,564,0.9691
1,123,0,QF_BV,702,19577.49,27.8882,546,0.7778
1,123,0,QF_LIA,575,17621.93,30.6468,477,0.8296
1,123,0,QF_NRA,882,831.77,0.943,877,0.9943
1,123,1,QF_BV,550,36162.46,65.7499,273,0.4964
1,123,1,QF_LIA,541,6597.23,12.1945,493,0.9113
1,123,1,QF_NRA,512,5994.64,11.7083,473,0.9238
1,123,2,QF_BV,556,920.98,1.6564,554,0.9964
1,123,2,QF_LIA,649,6453.13,9.9432,612,0.943
1,123,2,QF_NRA,480,12965.47,27.0114,393,0.8187
1,123,3,QF_BV,589,12879.91,21.8674,497,0.8438
1,123,3,QF_LIA,647,11243.71,17.3782,563,0.8702
1,123,3,QF_NRA,544,42472.94,78.0753,236,0.4338
1,123,4,QF_BV,603,19033.92,31.5654,456,0.7562
1,123,4,QF_LIA,588,6608.47,11.2389,541,0.9201
1,123,4,QF_NRA,582,2027.71,3.484,567,0.9742
2,456,0,QF_BV,702,18863.17,26.8706,554,0.7892
2,456,0,QF_LIA,575,15927.17,27.6994,476,0.8278
2,456,0,QF_NRA,882,936.19,1.0614,876,0.9932
2,456,1,QF_BV,550,41863.8,76.116,218,0.3964
2,456,1,QF_LIA,541,3202.51,5.9196,525,0.9704
2,456,1,QF_NRA,512,5210.93,10.1776,481,0.9395
2,456,2,QF_BV,556,1086.69,1.9545,554,0.9964
2,456,2,QF_LIA,649,4029.06,6.2081,635,0.9784
2,456,2,QF_NRA,480,14110.94,29.3978,400,0.8333
2,456,3,QF_BV,589,16970.56,28.8125,459,0.7793
2,456,3,QF_LIA,647,17501.59,27.0504,510,0.7883
2,456,3,QF_NRA,544,41636.46,76.5376,243,0.4467
2,456,4,QF_BV,603,32671.75,54.182,337,0.5589
2,456,4,QF_LIA,588,16681.3,28.3696,452,0.7687
2,456,4,QF_NRA,582,1975.78,3.3948,568,0.9759
