variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,False,0,QF_BV,702,19207.09,27.3605,551,0.7849
0,False,0,QF_LIA,575,15929.14,27.7029,476,0.8278
0,False,0,QF_NRA,882,577.44,0.6547,879,0.9966
0,False,1,QF_BV,550,38615.89,70.2107,247,0.4491
0,False,1,QF_LIA,541,6535.75,12.0809,496,0.9168
0,False,1,QF_NRA,512,6852.15,13.3831,456,0.8906
0,False,2,QF_BV,556,1121.88,2.0178,552,0.9928
0,False,2,QF_LIA,649,2223.14,3.4255,639,0.9846
0,False,2,QF_NRA,480,13833.26,28.8193,404,0.8417
0,False,3,QF_BV,589,6733.86,11.4327,546,0.927
0,False,3,QF_LIA,647,15665.94,24.2132,525,0.8114
0,False,3,QF_NRA,544,42984.42,79.0155,230,0.4228
0,False,4,QF_BV,603,32671.66,54.1819,337,0.5589
0,False,4,QF_LIA,588,34838.48,59.2491,300,0.5102
0,False,4,QF_NRA,582,2385.51,4.0988,564,0.9691
1,True,0,QF_BV,702,19207.09,27.3605,551,0.7849
1,True,0,QF_LIA,575,15929.25,27.703,476,0.8278
1,True,0,QF_NRA,882,1177.45,1.335,874,0.9909
1,True,1,QF_BV,550,38615.89,70.2107,247,0.4491
1,True,1,QF_LIA,541,4066.93,7.5174,518,0.9575
1,True,1,QF_NRA,512,7352.73,14.3608,452,0.8828
1,True,2,QF_BV,556,1121.88,2.0178,552,0.9928
1,True,2,QF_LIA,649,6335.94,9.7626,613,0.9445
1,True,2,QF_NRA,480,13179.01,27.4563,391,0.8146
1,True,3,QF_BV,589,6733.86,11.4327,546,0.927
1,True,3,QF_LIA,647,11922.69,18.4277,556,0.8594
1,True,3,QF_NRA,544,41640.1,76.5443,243,0.4467
1,True,4,QF_BV,603,32671.66,54.1819,337,0.5589
1,True,4,QF_LIA,588,34543.52,58.7475,307,0.5221
1,True,4,QF_NRA,582,1657.7,2.8483,571,0.9811
