metric,mean,std
Grackle avg PAR-2,15.998309411264037,6.976599588598846
Grackle solved%,89.522182684155,5.108583976233954
CSBS avg PAR-2,21.162537153082134,9.048271400849657
CSBS solved%,84.69503821825421,6.116430574452378
ΔPAR-2 vs CSBS (total),9512.932000000046,8128.1934525904835
VBS disagreement%,71.37566382210557,7.1062236568401005
GRACKLE QF_BV avg_par2,20.399491423453927,14.256189946215871
GRACKLE QF_BV solved_pct,85.5657031174912,11.715648747706393
CSBS QF_BV avg_par2,26.94754720840313,13.501793653969752
CSBS QF_BV solved_pct,79.21538586952856,10.704426980322935
VBS QF_BV avg_par2,19.676497186307106,14.59766917416969
VBS QF_BV solved_pct,85.63348587682601,11.66093673660109
GRACKLE QF_LIA avg_par2,10.765176296534998,8.822719841246094
GRACKLE QF_LIA solved_pct,93.31560030028352,6.571649970732128
CSBS QF_LIA avg_par2,10.942699275607186,8.796397203622403
CSBS QF_LIA solved_pct,93.12587930318328,6.553931617647476
VBS QF_LIA avg_par2,8.193136816363065,7.601801487748529
VBS QF_LIA solved_pct,94.85462661698932,4.967806019076305
GRACKLE QF_NRA avg_par2,16.539292661494386,16.113190737813476
GRACKLE QF_NRA solved_pct,89.81153464715702,8.540967064065786
CSBS QF_NRA avg_par2,26.34367917609119,21.251687723854555
CSBS QF_NRA solved_pct,81.0169163262927,13.234520647791054
VBS QF_NRA avg_par2,12.961834760517164,10.76933236008431
VBS QF_NRA solved_pct,90.29866625387943,7.95661181376693
