fold,strategy,par2,solved,total,avg_par2,solved_pct
1,VBS,17272.64,1653,1783,9.687,92.7
1,MACHSMT,39981.55,1463,1783,22.424,82.1
1,CSBS,23715.43,1604,1783,13.301,90.0
1,SBS,21391.63,1624,1783,11.998,91.1
1,RANDOM,43220.63,1437,1783,24.240,80.6
2,VBS,26681.28,1669,1842,14.485,90.6
2,MACHSMT,52385.98,1445,1842,28.440,78.4
2,CSBS,33835.58,1605,1842,18.369,87.1
2,SBS,31835.09,1625,1842,17.283,88.2
2,RANDOM,62790.19,1360,1842,34.088,73.8
3,VBS,29398.83,1577,1786,16.461,88.3
3,MACHSMT,50947.08,1393,1786,28.526,78.0
3,CSBS,49877.92,1401,1786,27.927,78.4
3,SBS,47158.31,1435,1786,26.404,80.3
3,RANDOM,53861.55,1378,1786,30.158,77.2
4,VBS,28136.80,1618,1813,15.519,89.2
4,MACHSMT,60150.78,1351,1813,33.177,74.5
4,CSBS,40265.46,1513,1813,22.209,83.5
4,SBS,40309.84,1543,1813,22.234,85.1
4,RANDOM,71008.97,1270,1813,39.167,70.0
5,VBS,18169.51,1636,1776,10.231,92.1
5,MACHSMT,49262.09,1424,1776,27.738,80.2
5,CSBS,35487.41,1540,1776,19.982,86.7
5,SBS,35158.11,1545,1776,19.796,87.0
5,RANDOM,49992.34,1399,1776,28.149,78.8
