metric,mean,std
Grackle avg PAR-2,9.661430730453592,2.599469688986539
Grackle solved%,87.00093377610611,4.0416512859352345
CSBS avg PAR-2,11.894876716783404,2.9003733865824204
CSBS solved%,82.34173428334363,4.7585682960868
ΔPAR-2 vs CSBS (total),4007.5049999999674,1741.5229441047256
VBS disagreement%,84.61416661673485,8.27192698730894
GRACKLE QF_BV avg_par2,15.69213927026447,11.453688220872793
GRACKLE QF_BV solved_pct,77.54742820546447,16.56203590204434
CSBS QF_BV avg_par2,18.787099799735568,14.5867705885711
CSBS QF_BV solved_pct,71.17863572040875,22.782444517125278
VBS QF_BV avg_par2,14.872605405527127,10.880476536379186
VBS QF_BV solved_pct,78.16389204908238,16.044872081917593
GRACKLE QF_LIA avg_par2,6.914468614972636,7.281101358432845
GRACKLE QF_LIA solved_pct,91.76812690479012,10.930123209851276
CSBS QF_LIA avg_par2,8.091874596253811,7.377693762771649
CSBS QF_LIA solved_pct,89.28820218377729,11.271114125672115
VBS QF_LIA avg_par2,5.465313065243844,6.575810358796945
VBS QF_LIA solved_pct,92.4777338916897,9.715544821174722
GRACKLE QF_NRA avg_par2,17.254401418176826,18.553860649383957
GRACKLE QF_NRA solved_pct,74.04198327332016,30.99563957986859
CSBS QF_NRA avg_par2,21.24296862625524,20.393892662357835
CSBS QF_NRA solved_pct,66.08054728248365,33.86211618776571
VBS QF_NRA avg_par2,16.088548065789478,18.664209466447524
VBS QF_NRA solved_pct,74.56853576447743,31.041620935204566
