metric,mean,std
Grackle avg PAR-2,9.169764094316616,2.4081091708184434
Grackle solved%,87.65312879353908,3.6974999919701372
CSBS avg PAR-2,12.298621756501879,2.4307124584754183
CSBS solved%,81.43342668704162,4.006601943945986
ΔPAR-2 vs CSBS (total),5602.5341999999855,2606.6533537565174
VBS disagreement%,74.44290508785869,12.319937603619413
GRACKLE QF_BV avg_par2,15.511436934915894,11.087109410174204
GRACKLE QF_BV solved_pct,78.04738771225,15.736586252630087
CSBS QF_BV avg_par2,18.78987457151423,14.675961326339895
CSBS QF_BV solved_pct,71.20269187029271,22.94973425936662
VBS QF_BV avg_par2,14.846044405898173,10.600840606049129
VBS QF_BV solved_pct,78.28381271617467,15.59099521748512
GRACKLE QF_LIA avg_par2,5.80868800370571,5.916503379149027
GRACKLE QF_LIA solved_pct,93.01218751835333,8.282372381924263
CSBS QF_LIA avg_par2,6.817224458460483,6.476842721188505
CSBS QF_LIA solved_pct,90.95303283416615,9.628869890848373
VBS QF_LIA avg_par2,4.916512361081182,5.278749975700829
VBS QF_LIA solved_pct,93.54678278640654,7.5493581000855805
GRACKLE QF_NRA avg_par2,16.946860722318895,18.23562345021693
GRACKLE QF_NRA solved_pct,74.58441823420148,30.4622261397193
CSBS QF_NRA avg_par2,23.970660575445425,20.05410146445474
CSBS QF_NRA solved_pct,61.30458166285753,33.29629712751145
VBS QF_NRA avg_par2,16.02033730056173,18.345611869227493
VBS QF_NRA solved_pct,74.66269612069854,30.46658754050218
