metric,mean,std
Grackle avg PAR-2,9.162750376708367,2.550571119503651
Grackle solved%,87.48000860248756,3.710972704557875
CSBS avg PAR-2,11.423392106768757,2.9989879484903796
CSBS solved%,82.90677350804002,4.924765007479176
ΔPAR-2 vs CSBS (total),4061.083599999987,1434.6381119251632
VBS disagreement%,85.39202728235144,6.81278730987007
GRACKLE QF_BV avg_par2,15.257285836939797,11.032013714617307
GRACKLE QF_BV solved_pct,78.41761425675223,15.711984788889106
CSBS QF_BV avg_par2,18.408685951174316,14.296373722326047
CSBS QF_BV solved_pct,71.76522784643072,22.201559353972467
VBS QF_BV avg_par2,14.51816336208938,10.476530842117429
VBS QF_BV solved_pct,78.4971249486422,15.712868948848739
GRACKLE QF_LIA avg_par2,6.179466627441007,6.262969687665428
GRACKLE QF_LIA solved_pct,92.58067497825982,8.973298252256978
CSBS QF_LIA avg_par2,7.26389424586085,6.946203080893764
CSBS QF_LIA solved_pct,90.27942462047203,10.695628725879406
VBS QF_LIA avg_par2,5.0660334340264415,5.594437752711322
VBS QF_LIA solved_pct,93.16985539915144,8.145009527011274
GRACKLE QF_NRA avg_par2,17.02775806777449,18.570873569612154
GRACKLE QF_NRA solved_pct,73.80420725142456,30.85978371804978
CSBS QF_NRA avg_par2,21.276094744656767,20.504029875438356
CSBS QF_NRA solved_pct,65.94854451115475,34.042991975289844
VBS QF_NRA avg_par2,16.21399374523013,18.559407237243597
VBS QF_NRA solved_pct,74.46134224448299,30.92484295743839
