metric,mean,std
Grackle avg PAR-2,8.889251493761645,2.749629284292252
Grackle solved%,88.10400663420928,4.086181938838758
CSBS avg PAR-2,12.333265079916186,2.788153396885005
CSBS solved%,81.27479549570042,4.576069018059592
ΔPAR-2 vs CSBS (total),6169.260999999991,3444.4344905887697
VBS disagreement%,78.19781630150693,3.69567540391931
GRACKLE QF_BV avg_par2,15.496401266858928,11.079582912123294
GRACKLE QF_BV solved_pct,78.21796548175851,15.60314443493967
CSBS QF_BV avg_par2,17.91704683387843,13.280084911958708
CSBS QF_BV solved_pct,72.94359178795793,20.23632303243901
VBS QF_BV avg_par2,14.575585326259004,10.578435579408373
VBS QF_BV solved_pct,78.54720165383928,15.550670269306066
GRACKLE QF_LIA avg_par2,5.161087439105938,6.506057912375103
GRACKLE QF_LIA solved_pct,94.01659884254695,9.058941168169282
CSBS QF_LIA avg_par2,7.108632092445596,6.579475812681616
CSBS QF_LIA solved_pct,90.2646215942478,9.879271206613025
VBS QF_LIA avg_par2,4.327737984632154,6.25914632158402
VBS QF_LIA solved_pct,94.0933078891907,8.974436592020439
GRACKLE QF_NRA avg_par2,17.139076342032748,18.53718628225915
GRACKLE QF_NRA solved_pct,74.2945631617377,31.020620129355688
CSBS QF_NRA avg_par2,24.12038350762274,20.074407671599957
CSBS QF_NRA solved_pct,61.021042022118,33.29913132917464
VBS QF_NRA avg_par2,16.044654608420114,18.3671184726469
VBS QF_NRA solved_pct,74.66269612069854,30.46658754050218
