metric,mean,std
Grackle avg PAR-2,9.228921493801773,2.6761921207303896
Grackle solved%,87.27247857094551,3.930456735178031
CSBS avg PAR-2,12.160376675921404,2.5528322133446246
CSBS solved%,81.429760994202,4.108168471712566
ΔPAR-2 vs CSBS (total),5246.700599999991,2681.8246224326263
VBS disagreement%,75.75498106132963,7.3451820184866214
GRACKLE QF_BV avg_par2,15.42400735563906,11.075193583278171
GRACKLE QF_BV solved_pct,78.17581141601865,15.829149907481666
CSBS QF_BV avg_par2,18.6445504554783,14.485728273541474
CSBS QF_BV solved_pct,71.39020386233872,22.69971643883243
VBS QF_BV avg_par2,14.664869228968758,10.586469357178224
VBS QF_BV solved_pct,78.44784895555584,15.694701839110888
GRACKLE QF_LIA avg_par2,5.89586378202924,6.49270740374686
GRACKLE QF_LIA solved_pct,92.2721947417913,9.431377603600554
CSBS QF_LIA avg_par2,6.509319676458863,7.088007300044527
CSBS QF_LIA solved_pct,90.96480361571443,10.803733768143466
VBS QF_LIA avg_par2,5.0904687879981,5.692901420981119
VBS QF_LIA solved_pct,93.03121819891538,8.184949474131077
GRACKLE QF_NRA avg_par2,17.34352834150216,18.48989478080544
GRACKLE QF_NRA solved_pct,73.79598020925795,30.87974744925518
CSBS QF_NRA avg_par2,23.865367868634763,20.02830182000876
CSBS QF_NRA solved_pct,61.51668261219336,33.26067584750636
VBS QF_NRA avg_par2,16.35914394103701,18.572611001342494
VBS QF_NRA solved_pct,74.21828154282518,30.92011781682672
