metric,mean,std
Grackle avg PAR-2,9.756593363200716,2.719831519202568
Grackle solved%,86.68011355283717,4.280236332367335
CSBS avg PAR-2,12.748579960542163,2.895809456321547
CSBS solved%,80.73939506978957,4.685282448184642
ΔPAR-2 vs CSBS (total),5357.732199999977,2891.9912123458516
VBS disagreement%,85.13266428857466,5.913524127331082
GRACKLE QF_BV avg_par2,15.442502402486522,11.085127292759568
GRACKLE QF_BV solved_pct,78.04738771225,15.736586252630087
CSBS QF_BV avg_par2,17.794185456706977,13.282024175446274
CSBS QF_BV solved_pct,73.06778207955028,20.293724484280332
VBS QF_BV avg_par2,14.662985988753906,10.616523962591964
VBS QF_BV solved_pct,78.43418549808203,15.68457529180493
GRACKLE QF_LIA avg_par2,7.026545966795546,7.092451188419141
GRACKLE QF_LIA solved_pct,91.12100945171082,10.518181393463518
CSBS QF_LIA avg_par2,7.559421864313444,7.37737145972356
CSBS QF_LIA solved_pct,89.91822163804474,11.210457410402562
VBS QF_LIA avg_par2,5.987291435670028,6.34766100887556
VBS QF_LIA solved_pct,91.74357002673884,9.501068666603395
GRACKLE QF_NRA avg_par2,17.517176204884784,18.346114789990686
GRACKLE QF_NRA solved_pct,73.70067662381845,30.420447581121365
CSBS QF_NRA avg_par2,24.963373693570606,20.317266932389604
CSBS QF_NRA solved_pct,59.51236946435159,33.5998876692331
VBS QF_NRA avg_par2,16.162323290698733,18.40277018193705
VBS QF_NRA solved_pct,74.52259443203764,30.419334788238018
