metric,mean,std
Grackle avg PAR-2,9.465752206116003,2.650936595395707
Grackle solved%,87.12789094475457,4.091174559692248
CSBS avg PAR-2,12.275797018714432,2.501670940248086
CSBS solved%,81.54044287231781,4.04843221247689
ΔPAR-2 vs CSBS (total),5028.04619999999,2686.126544716865
VBS disagreement%,67.56762747946995,7.30836527317896
GRACKLE QF_BV avg_par2,15.738115075994461,11.341042218317977
GRACKLE QF_BV solved_pct,77.63711417375315,16.134803680723007
CSBS QF_BV avg_par2,18.735986603185733,14.65215254457731
CSBS QF_BV solved_pct,71.34303494099761,22.837587389064698
VBS QF_BV avg_par2,15.037291439331234,10.837459110623453
VBS QF_BV solved_pct,77.9832845683714,15.965600077695731
GRACKLE QF_LIA avg_par2,6.215721878736849,6.75259572386177
GRACKLE QF_LIA solved_pct,92.36856358601284,9.90217017890036
CSBS QF_LIA avg_par2,6.66663261079304,7.183792816217149
CSBS QF_LIA solved_pct,91.41226287484751,10.924874634972172
VBS QF_LIA avg_par2,5.203259192448129,6.067548023633787
VBS QF_LIA solved_pct,93.02358542007397,8.783998507613411
GRACKLE QF_NRA avg_par2,17.22654615538419,18.32088046803422
GRACKLE QF_NRA solved_pct,74.19173665712302,30.39440419710355
CSBS QF_NRA avg_par2,23.95734380198732,20.052990694017506
CSBS QF_NRA solved_pct,61.351899797032615,33.29521457406801
VBS QF_NRA avg_par2,16.149636201015184,18.42322880264462
VBS QF_NRA solved_pct,74.54398714635981,30.406830637598162
