metric,mean,std
Grackle avg PAR-2,9.545572707356543,2.707714417003427
Grackle solved%,86.68924172240092,4.166652620186068
CSBS avg PAR-2,12.290292019672245,2.5155766643060495
CSBS solved%,81.25347794326997,4.077947574082491
ΔPAR-2 vs CSBS (total),4907.620600000011,2923.0668357154336
VBS disagreement%,75.64326637933513,5.297819745485425
GRACKLE QF_BV avg_par2,16.022214792769063,11.810877890507118
GRACKLE QF_BV solved_pct,76.84781992368524,17.283749394970616
CSBS QF_BV avg_par2,18.83102441062684,14.722627217297335
CSBS QF_BV solved_pct,71.13684463587654,22.96260893493905
VBS QF_BV avg_par2,15.025941370043144,10.87366392044531
VBS QF_BV solved_pct,77.87317619647013,16.06090788929269
GRACKLE QF_LIA avg_par2,6.245959484760479,7.349367009845809
GRACKLE QF_LIA solved_pct,91.66412528172717,11.062941449081102
CSBS QF_LIA avg_par2,6.5827098813591,7.518316549391339
CSBS QF_LIA solved_pct,90.95200859498509,11.443422449201712
VBS QF_LIA avg_par2,5.400370940510835,6.51455507927639
VBS QF_LIA solved_pct,92.50502646810891,9.668903436960003
GRACKLE QF_NRA avg_par2,17.320826660919554,18.197454387237872
GRACKLE QF_NRA solved_pct,73.92927950872759,30.32269537383033
CSBS QF_NRA avg_par2,23.97590126427912,20.06338378984937
CSBS QF_NRA solved_pct,61.27362191053555,33.29995686962239
VBS QF_NRA avg_par2,16.3004444759398,18.27219115361455
VBS QF_NRA solved_pct,74.35158084229482,30.35186007999296
