metric,mean,std
Grackle avg PAR-2,9.513148237316027,2.8216237430570676
Grackle solved%,86.77775736122054,4.245738459940086
CSBS avg PAR-2,12.31933592641673,2.507373246355697
CSBS solved%,81.20054942892799,4.0172025388768215
ΔPAR-2 vs CSBS (total),5020.148599999995,2759.254011275733
VBS disagreement%,80.7510132084338,7.85289305556249
GRACKLE QF_BV avg_par2,15.868056246644372,11.563943095279564
GRACKLE QF_BV solved_pct,77.46290265797327,16.456347573713103
CSBS QF_BV avg_par2,18.908290728689515,14.81987725852305
CSBS QF_BV solved_pct,71.05406317892292,23.085482648550034
VBS QF_BV avg_par2,15.093398529314344,11.084167561568123
VBS QF_BV solved_pct,77.7482406737766,16.413015177978508
GRACKLE QF_LIA avg_par2,6.219186200455261,7.334548214945236
GRACKLE QF_LIA solved_pct,91.80058816382324,10.829162828311096
CSBS QF_LIA avg_par2,6.7668009984680895,7.7982649325145434
CSBS QF_LIA solved_pct,90.64754046686312,11.929012831825924
VBS QF_LIA avg_par2,5.22759097268308,6.25365284011978
VBS QF_LIA solved_pct,92.75065965588183,9.24941917412792
GRACKLE QF_NRA avg_par2,17.40049623530931,18.218982553028535
GRACKLE QF_NRA solved_pct,73.74181183465154,30.3036183507269
CSBS QF_NRA avg_par2,23.886342006556692,20.047247719882623
CSBS QF_NRA solved_pct,61.46931662677821,33.28948037995978
VBS QF_NRA avg_par2,16.17356694439082,18.29109497235752
VBS QF_NRA solved_pct,74.58641450178602,30.366185252531384
