metric,mean,std
Grackle avg PAR-2,9.396990804933328,2.6294926777806547
Grackle solved%,87.12752456091795,3.9483237963897317
CSBS avg PAR-2,11.386467255527833,2.8673344251222876
CSBS solved%,83.19237034322278,4.748116934293268
ΔPAR-2 vs CSBS (total),3568.1324000000013,1361.1063861798063
VBS disagreement%,65.81631343909083,5.711921113764285
GRACKLE QF_BV avg_par2,15.231623043822337,11.036176990378577
GRACKLE QF_BV solved_pct,78.11207125334774,15.986076627017486
CSBS QF_BV avg_par2,18.080119362840883,13.973721971147064
CSBS QF_BV solved_pct,72.33815651497886,21.604021629796048
VBS QF_BV avg_par2,14.681853672511105,10.643164596992271
VBS QF_BV solved_pct,78.37044533541112,15.838350469376296
GRACKLE QF_LIA avg_par2,6.8851236382886105,6.455420699316459
GRACKLE QF_LIA solved_pct,91.65082466400698,9.434580041541706
CSBS QF_LIA avg_par2,7.6283486560197105,6.793053076147641
CSBS QF_LIA solved_pct,90.11930271390361,10.281607178796541
VBS QF_LIA avg_par2,5.759969860630605,5.752024958166922
VBS QF_LIA solved_pct,92.32797039187342,8.325801111797738
GRACKLE QF_NRA avg_par2,16.718406590744184,18.21133109024288
GRACKLE QF_NRA solved_pct,74.30621112446423,30.27271383535963
CSBS QF_NRA avg_par2,20.746484070105794,20.396450342004876
CSBS QF_NRA solved_pct,66.9497986537635,33.93092727522485
VBS QF_NRA avg_par2,16.09136235154179,18.22543363960943
VBS QF_NRA solved_pct,74.71205837369823,30.359154787038182
