metric,mean,std
Grackle avg PAR-2,9.641175267173825,2.854992817617074
Grackle solved%,86.66989789799929,4.3273318982222255
CSBS avg PAR-2,12.203199271611537,2.7693614550377124
CSBS solved%,81.40371937021558,4.514362155608121
ΔPAR-2 vs CSBS (total),4577.617800000013,3248.853926553297
VBS disagreement%,83.43071734471334,5.718930205600025
GRACKLE QF_BV avg_par2,15.402114272947031,11.148362976595424
GRACKLE QF_BV solved_pct,78.09128586852744,15.727960560293777
CSBS QF_BV avg_par2,17.31341666137663,12.820421703411858
CSBS QF_BV solved_pct,73.88905511895935,19.365095749207413
VBS QF_BV avg_par2,14.74199820499698,10.659202486089521
VBS QF_BV solved_pct,78.32444010738844,15.700686822450262
GRACKLE QF_LIA avg_par2,6.9712263335031945,7.288286000632211
GRACKLE QF_LIA solved_pct,90.9308803118796,10.758430642477895
CSBS QF_LIA avg_par2,7.2076072530188995,7.11154633433079
CSBS QF_LIA solved_pct,89.94809533540791,11.156864197933233
VBS QF_LIA avg_par2,5.822638183663143,6.1428758124097715
VBS QF_LIA solved_pct,91.85365922751897,9.225264932216962
GRACKLE QF_NRA avg_par2,17.36082678105963,18.222624833505378
GRACKLE QF_NRA solved_pct,73.8200897211486,30.302091360453204
CSBS QF_NRA avg_par2,24.003519234257706,20.058622091188468
CSBS QF_NRA solved_pct,61.23448296728702,33.30260375397088
VBS QF_NRA avg_par2,16.28707044575018,18.270029033530484
VBS QF_NRA solved_pct,74.35980788446145,30.332755776013144
