metric,mean,std
Grackle avg PAR-2,9.688252550411182,2.6619253347373926
Grackle solved%,86.84536185330879,4.106326490770184
CSBS avg PAR-2,11.807199866680921,3.0108956381846586
CSBS solved%,82.46482318908575,4.8725430365454905
ΔPAR-2 vs CSBS (total),3802.1269999999713,1546.8634930900632
VBS disagreement%,88.44966097245542,5.620864752599477
GRACKLE QF_BV avg_par2,15.429012546205662,11.069992764979517
GRACKLE QF_BV solved_pct,77.91743733395525,15.977673218809368
CSBS QF_BV avg_par2,17.91148703452184,13.463633797025846
CSBS QF_BV solved_pct,72.92954608059063,20.569569174808045
VBS QF_BV avg_par2,14.800494125123457,10.815067207158313
VBS QF_BV solved_pct,78.27400042098367,15.946316985449153
GRACKLE QF_LIA avg_par2,7.204392072738067,7.121991071297563
GRACKLE QF_LIA solved_pct,91.12100945171082,10.518181393463518
CSBS QF_LIA avg_par2,8.325798620320075,7.4642120963034175
CSBS QF_LIA solved_pct,88.7951758798523,11.450781548086663
VBS QF_LIA avg_par2,5.840115673341879,6.210564217598131
VBS QF_LIA solved_pct,91.82544775599649,9.361514454165967
GRACKLE QF_NRA avg_par2,17.075925223327367,18.27893370916539
GRACKLE QF_NRA solved_pct,74.33183834578394,30.439192569226396
CSBS QF_NRA avg_par2,21.12875453259675,20.465507105255625
CSBS QF_NRA solved_pct,66.261656057143,33.98571197904657
VBS QF_NRA avg_par2,15.943607708871005,18.388808805243954
VBS QF_NRA solved_pct,74.78011295044413,30.474636507091056
