variant_index,variant_value,fold,logic,n_instances,total_par2,avg_par2,solved,solve_rate
0,scikit,0,QF_BV,702,19207.09,27.3605,551,0.7849
0,scikit,0,QF_LIA,575,15929.14,27.7029,476,0.8278
0,scikit,0,QF_NRA,882,577.44,0.6547,879,0.9966
0,scikit,1,QF_BV,550,38615.89,70.2107,247,0.4491
0,scikit,1,QF_LIA,541,6535.75,12.0809,496,0.9168
0,scikit,1,QF_NRA,512,6852.15,13.3831,456,0.8906
0,scikit,2,QF_BV,556,1121.88,2.0178,552,0.9928
0,scikit,2,QF_LIA,649,2223.14,3.4255,639,0.9846
0,scikit,2,QF_NRA,480,13833.26,28.8193,404,0.8417
0,scikit,3,QF_BV,589,6733.86,11.4327,546,0.927
0,scikit,3,QF_LIA,647,15665.94,24.2132,525,0.8114
0,scikit,3,QF_NRA,544,42984.42,79.0155,230,0.4228
0,scikit,4,QF_BV,603,32671.66,54.1819,337,0.5589
0,scikit,4,QF_LIA,588,34838.48,59.2491,300,0.5102
0,scikit,4,QF_NRA,582,2385.51,4.0988,564,0.9691
1,xgboost,0,QF_BV,702,19081.3,27.1813,550,0.7835
1,xgboost,0,QF_LIA,575,53916.96,93.7686,145,0.2522
1,xgboost,0,QF_NRA,882,4261.27,4.8314,848,0.9615
1,xgboost,1,QF_BV,550,38335.81,69.7015,256,0.4655
1,xgboost,1,QF_LIA,541,5745.08,10.6194,501,0.9261
1,xgboost,1,QF_NRA,512,7083.28,13.8345,454,0.8867
1,xgboost,2,QF_BV,556,3689.46,6.6357,534,0.9604
1,xgboost,2,QF_LIA,649,3411.95,5.2572,628,0.9676
1,xgboost,2,QF_NRA,480,24379.99,50.7917,298,0.6208
1,xgboost,3,QF_BV,589,18479.82,31.3749,449,0.7623
1,xgboost,3,QF_LIA,647,19906.2,30.7669,487,0.7527
1,xgboost,3,QF_NRA,544,30710.11,56.4524,321,0.5901
1,xgboost,4,QF_BV,603,28288.09,46.9123,378,0.6269
1,xgboost,4,QF_LIA,588,46212.05,78.5919,210,0.3571
1,xgboost,4,QF_NRA,582,3858.94,6.6305,552,0.9485
2,torch,0,QF_BV,702,84240.0,120.0,0,0.0
2,torch,0,QF_LIA,575,69000.0,120.0,0,0.0
2,torch,0,QF_NRA,882,105840.0,120.0,0,0.0
2,torch,1,QF_BV,550,66000.0,120.0,0,0.0
2,torch,1,QF_LIA,541,64920.0,120.0,0,0.0
2,torch,1,QF_NRA,512,61440.0,120.0,0,0.0
2,torch,2,QF_BV,556,66720.0,120.0,0,0.0
2,torch,2,QF_LIA,649,77880.0,120.0,0,0.0
2,torch,2,QF_NRA,480,57600.0,120.0,0,0.0
2,torch,3,QF_BV,589,70680.0,120.0,0,0.0
2,torch,3,QF_LIA,647,77640.0,120.0,0,0.0
2,torch,3,QF_NRA,544,65280.0,120.0,0,0.0
2,torch,4,QF_BV,603,72360.0,120.0,0,0.0
2,torch,4,QF_LIA,588,70560.0,120.0,0,0.0
2,torch,4,QF_NRA,582,69840.0,120.0,0,0.0
