experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-C01,0,neighbor,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,0,neighbor,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,0,neighbor,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,0,neighbor,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,0,neighbor,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,1,knearest,0,1783,1497,35067.51,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,1,knearest,1,1842,1582,37014.38,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,1,knearest,2,1786,1397,50336.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,1,knearest,3,1813,1525,43043.95,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,1,knearest,4,1776,1532,36352.37,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,2,MLP,0,1783,1606,23005.50,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,2,MLP,1,1842,1190,81488.60,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,2,MLP,2,1786,1385,53032.12,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,2,MLP,3,1813,1261,75740.73,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,2,MLP,4,1776,1411,49402.70,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,3,linear,0,1783,1482,37656.89,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,3,linear,1,1842,1338,66099.49,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,3,linear,2,1786,1384,54024.85,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,3,linear,3,1813,1274,71468.02,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,3,linear,4,1776,1429,46260.42,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,4,thompson,0,1783,1560,28118.12,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,4,thompson,1,1842,1588,36157.21,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,4,thompson,2,1786,1407,49346.16,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,4,thompson,3,1813,1531,41456.86,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,4,thompson,4,1776,1545,34495.68,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,5,exp3,0,1783,1569,27386.44,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,5,exp3,1,1842,1579,37142.26,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,5,exp3,2,1786,1402,50287.46,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,5,exp3,3,1813,1489,44367.34,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,5,exp3,4,1776,1544,34507.43,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,6,greedy,0,1783,1566,27723.30,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,6,greedy,1,1842,1563,39037.97,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,6,greedy,2,1786,1395,50698.56,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,6,greedy,3,1813,1486,43839.77,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,6,greedy,4,1776,1532,36696.93,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-C01,7,random,0,1783,1470,38932.61,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-C01,7,random,1,1842,1319,68125.81,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-C01,7,random,2,1786,1385,53072.09,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-C01,7,random,3,1813,1282,70485.51,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-C01,7,random,4,1776,1418,47653.91,1636,18169.51,1540,35487.41,1545,35158.11
