experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-H10,0,0,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H10,0,0,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H10,0,0,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H10,0,0,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H10,0,0,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H10,1,1,0,1783,1493,35609.50,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H10,1,1,1,1842,1604,34972.98,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H10,1,1,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H10,1,1,3,1813,1492,46863.19,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H10,1,1,4,1776,1613,22581.43,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H10,2,5,0,1783,1625,20750.39,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H10,2,5,1,1842,1552,42388.14,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H10,2,5,2,1786,1391,52490.96,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H10,2,5,3,1813,1492,46842.60,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H10,2,5,4,1776,1583,26228.08,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-H10,3,10,0,1783,1577,26458.82,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-H10,3,10,1,1842,1533,44306.72,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-H10,3,10,2,1786,1391,52495.69,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-H10,3,10,3,1813,1492,46842.61,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-H10,3,10,4,1776,1582,26348.01,1636,18169.51,1540,35487.41,1545,35158.11
