experiment,variant_idx,value,fold,total,medley_solved,medley_par2,vbs_solved,vbs_par2,csbs_solved,csbs_par2,sbs_solved,sbs_par2
ABL-MDY-T01,0,expo,0,1783,1625,20758.06,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-T01,0,expo,1,1842,1565,39400.55,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-T01,0,expo,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-T01,0,expo,3,1813,1492,46737.93,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-T01,0,expo,4,1776,1394,48432.55,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-T01,1,const,0,1783,1503,34361.64,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-T01,1,const,1,1842,1542,43299.37,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-T01,1,const,2,1786,1391,52495.69,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-T01,1,const,3,1813,1494,45582.24,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-T01,1,const,4,1776,1599,24209.88,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-T01,2,nearest,0,1783,1616,21799.81,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-T01,2,nearest,1,1842,1586,36854.08,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-T01,2,nearest,2,1786,1396,51899.90,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-T01,2,nearest,3,1813,1492,46725.19,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-T01,2,nearest,4,1776,1420,45181.31,1636,18169.51,1540,35487.41,1545,35158.11
ABL-MDY-T01,3,sgd,0,1783,1620,21780.20,1654,17124.33,1605,23148.60,1625,20824.79
ABL-MDY-T01,3,sgd,1,1842,1098,95184.84,1668,26829.59,1604,34402.41,1624,32401.92
ABL-MDY-T01,3,sgd,2,1786,1424,49012.27,1577,29398.83,1401,49877.92,1435,47158.31
ABL-MDY-T01,3,sgd,3,1813,1492,46918.49,1618,28136.80,1513,40265.46,1543,40309.84
ABL-MDY-T01,3,sgd,4,1776,1588,25978.44,1636,18169.51,1540,35487.41,1545,35158.11
