tier,ref,featuriser,model,policy,logic,seed,fold,par2,solved_pct,vbs_gap,train_time_s,predict_time_s,n_train,n_test,slurm_job,slurm_task
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,0,10133.72,87.8,0.6534,551.8,109.4,2400,600,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,1,11680.71,85.0,0.9780,317.8,56.7,2400,600,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,2,11862.24,85.5,0.7169,310.5,90.5,2400,600,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,3,10730.83,86.7,1.2521,342.9,68.3,2400,600,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,4,12820.73,83.7,1.4788,241.9,58.3,2400,600,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,MEAN,11445.65,85.7,-254.7,2148.1,,,,hydra,22-42-32
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,0,10133.72,87.8,0.6534,279.9,75.0,2400,600,hydra,22-48-09
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,1,11680.71,85.0,0.9780,304.1,55.8,2400,600,hydra,22-48-09
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,2,11862.24,85.5,0.7169,318.5,85.7,2400,600,hydra,22-48-09
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,3,10730.83,86.7,1.2521,337.0,66.1,2400,600,hydra,22-48-09
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,4,12820.73,83.7,1.4788,235.1,57.9,2400,600,hydra,22-48-09
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_LIA,42,MEAN,11445.65,85.7,-254.7,1815.1,,,,hydra,22-48-09
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,0,7804.91,91.3,0.2734,139.4,17.6,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,1,7137.92,92.3,0.2633,,17.5,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,1,8882.37,89.5,0.4591,,17.9,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,1,6708.07,93.0,0.3910,71.5,16.8,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,2,7747.17,91.3,0.3119,,18.6,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,2,10755.38,86.7,0.8857,,18.4,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,2,7132.41,92.3,0.3752,72.6,17.0,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,3,8681.87,90.2,0.2566,,18.6,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,3,11819.09,85.2,1.0787,,17.9,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,3,9023.75,90.0,0.3164,73.1,19.3,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,4,6157.44,93.7,0.2923,,15.3,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,4,6678.35,92.7,0.6623,,15.9,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,4,7331.33,92.2,0.4174,71.9,17.2,2400,600,hydra,23-10-10
core,REF-VECTOR,machsmt_162,knn,select_argmin,QF_LIA,123,MEAN,9946.36,87.8,-177.1,516.7,,,,hydra,23-10-10
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_BV,456,0,7804.91,91.3,0.2734,72.5,17.2,2400,600,hydra,23-19-36
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_BV,456,1,7137.92,92.3,0.2633,,17.5,2400,600,hydra,23-19-36
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_BV,456,1,8882.37,89.5,0.4591,,17.9,2400,600,hydra,23-19-36
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_BV,456,1,6708.07,93.0,0.3910,72.3,17.2,2400,600,hydra,23-19-36
core,REF-VECTOR,machsmt_162,adaboost_ehm,select_argmin,QF_BV,456,2,7747.17,91.3,0.3119,,18.9,2400,600,hydra,23-19-36
