benchmark,logic,vbs_selection,vbs_par2,combined_sbs_selection,combined_sbs_par2,sbs_selection,sbs_par2,random_selection,random_par2,machsmt_selection,machsmt_par2,machsmt_matched_vbs,machsmt_regret
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_01_007.smt2.slack.smt2,QF_LIA,z3::z3_lia_default,22.071,z3::z3_lia_default,22.071,z3::z3_lia_default,22.071,z3::z3_lia_default,22.071,z3::z3_lia_arith,23.921,no,1.850
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_006.smt2.slack.smt2,QF_LIA,z3::z3_lia_arith,0.065,z3::z3_lia_default,0.164,z3::z3_lia_default,0.164,z3::z3_lia_default,0.164,z3::z3_lia_arith,0.065,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_02_008.smt2.slack.smt2,QF_LIA,z3::z3_lia_default,0.023,z3::z3_lia_default,0.023,z3::z3_lia_default,0.023,cvc5::cvc5_lia_default,1.750,z3::z3_lia_arith,0.041,no,0.018
data/suite_500/QF_LIA/20180326-Bromberger/cut_lemma_03_007.smt2.slack.smt2,QF_LIA,z3::z3_lia_arith,7.310,z3::z3_lia_default,22.064,z3::z3_lia_default,22.064,z3::z3_lia_arith,7.310,z3::z3_lia_arith,7.310,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage11.smt2,QF_LIA,z3::z3_lia_default,9.174,z3::z3_lia_default,9.174,z3::z3_lia_default,9.174,z3::z3_lia_arith,120.000,z3::z3_lia_default,9.174,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage22.smt2,QF_LIA,z3::z3_lia_default,120.000,z3::z3_lia_default,120.000,z3::z3_lia_default,120.000,z3::z3_lia_arith,120.000,z3::z3_lia_arith,120.000,no,0.000
data/suite_500/QF_LIA/20180326-Bromberger/unbd-sage9.smt2,QF_LIA,z3::z3_lia_default,7.425,z3::z3_lia_default,7.425,z3::z3_lia_default,7.425,z3::z3_lia_default,7.425,z3::z3_lia_default,7.425,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__012.smt2.slack.smt2,QF_LIA,cvc5::cvc5_lia_arith,0.005,z3::z3_lia_default,0.019,z3::z3_lia_default,0.019,z3::z3_lia_default,0.019,z3::z3_lia_default,0.019,no,0.014
data/suite_500/QF_LIA/20180326-Bromberger/v10_problem_2__033.smt2.slack.smt2,QF_LIA,z3::z3_lia_default,0.008,z3::z3_lia_default,0.008,z3::z3_lia_default,0.008,cvc5::cvc5_lia_arith,0.008,z3::z3_lia_default,0.008,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/v15_problem_2__005.smt2.slack.smt2,QF_LIA,cvc5::cvc5_lia_default,0.006,z3::z3_lia_default,0.008,z3::z3_lia_default,0.008,z3::z3_lia_default,0.008,z3::z3_lia_arith,0.009,no,0.003
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__012.smt2.slack.smt2,QF_LIA,z3::z3_lia_default,0.012,z3::z3_lia_default,0.012,z3::z3_lia_default,0.012,z3::z3_lia_default,0.012,z3::z3_lia_default,0.012,yes,0.000
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__022.smt2.slack.smt2,QF_LIA,z3::z3_lia_arith,0.012,z3::z3_lia_default,0.021,z3::z3_lia_default,0.021,z3::z3_lia_default,0.021,z3::z3_lia_default,0.021,no,0.009
data/suite_500/QF_LIA/20180326-Bromberger/v20_problem__027.smt2.slack.smt2,QF_LIA,cvc5::cvc5_lia_default,0.056,z3::z3_lia_default,0.087,z3::z3_lia_default,0.087,z3::z3_lia_arith,0.081,z3::z3_lia_default,0.087,no,0.031
data/suite_500/QF_LIA/20180326-Bromberger/v25_problem_2__017.smt2.slack.smt2,QF_LIA,z3::z3_lia_default,0.043,z3::z3_lia_default,0.043,z3::z3_lia_default,0.043,z3::z3_lia_arith,120.000,z3::z3_lia_default,0.043,yes,0.000
