benchmark,solver,score
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1052.smt2,cvc5::cvc5_bv_default,0.044
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1052.smt2,cvc5::cvc5_bv_eager,0.004
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1052.smt2,z3::z3_bv_default,0.011
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1052.smt2,z3::z3_bv_eager,0.009
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_106.smt2,cvc5::cvc5_bv_default,0.036
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_106.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_106.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_106.smt2,z3::z3_bv_eager,0.007
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1087.smt2,cvc5::cvc5_bv_default,120
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1087.smt2,cvc5::cvc5_bv_eager,120
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1087.smt2,z3::z3_bv_default,0.005
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1087.smt2,z3::z3_bv_eager,0.01
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1127.smt2,cvc5::cvc5_bv_default,0.828
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1127.smt2,cvc5::cvc5_bv_eager,0.843
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1127.smt2,z3::z3_bv_default,0.507
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1127.smt2,z3::z3_bv_eager,0.499
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1153.smt2,cvc5::cvc5_bv_default,0.039
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1153.smt2,cvc5::cvc5_bv_eager,0.018
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1153.smt2,z3::z3_bv_default,0.006
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1153.smt2,z3::z3_bv_eager,0.008
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1225.smt2,cvc5::cvc5_bv_default,0.041
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1225.smt2,cvc5::cvc5_bv_eager,0.003
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1225.smt2,z3::z3_bv_default,0.013
data/suite_500/QF_BV/20190311-bv-term-small-rw-Noetzli/bv-term-small-rw_1225.smt2,z3::z3_bv_eager,0.009
